"","Senator","State","first.party"
"247","Jim Bunning","Kentucky","Republican"
"248","Thomas G. Burch","Virginia","Democratic"
"249","Jocelyn Birch Burdick","North Dakota","Democratic"
"250","Quentin N. Burdick","North Dakota","Democratic"
"251","Edward R. Burke","Nebraska","Democratic"
"252","Thomas A. Burke","Ohio","Democratic"
"253","Elmer Burkett","Nebraska","Republican"
"254","Edwin C. Burleigh","Maine","Republican"
"255","Jacob Burnet","Ohio","National Republican"
"256","Henry E. Burnham","New Hampshire","Republican"
"257","Conrad Burns","Montana","Republican"
"258","Ambrose Burnside","Rhode Island","Republican"
"259","Aaron Burr","New York","Democratic-Republican"
"260","James Burrill Jr.","Rhode Island","Federalist"
"261","Roland Burris","Illinois","Democratic"
"262","Julius C. Burrows","Michigan","Republican"
"263","Holm O. Bursum","New Mexico","Republican"
"264","Harold H. Burton","Ohio","Republican"
"265","Joseph R. Burton","Kansas","Republican"
"266","Theodore E. Burton","Ohio","Republican"
"267","Prescott Bush","Connecticut","Republican"
"268","Harlan J. Bushfield","South Dakota","Republican"
"269","Vera C. Bushfield","South Dakota","Republican"
"270","Andrew Butler","South Carolina","Democratic"
"271","Hugh A. Butler","Nebraska","Republican"
"272","John M. Butler","Maryland","Republican"
"273","Marion Butler","North Carolina","Populist"
"274","Matthew Butler","South Carolina","Democratic"
"275","Pierce Butler","South Carolina","Federalist"
"276","William M. Butler","Massachusetts","Republican"
"277","Harry F. Byrd Jr.","Virginia","Democratic"
"278","Harry F. Byrd Sr.","Virginia","Democratic"
"279","Robert C. Byrd","West Virginia","Democratic"
"280","James F. Byrnes","South Carolina","Democratic"
"281","George Cabot","Massachusetts","Federalist"
"282","Donelson Caffery","Louisiana","Democratic"
"283","Harry P. Cain","Washington","Republican"
"284","William M. Calder","New York","Republican"
"285","Alexander Caldwell","Kansas","Republican"
"286","John C. Calhoun","South Carolina","Nullifier"
"287","Wilkinson Call","Florida","Democratic"
"288","Johnson N. Camden","West Virginia","Democratic"
"289","Johnson N. Camden Jr.","Kentucky","Democratic"
"290","Angus Cameron","Wisconsin","Republican"
"291","J. Donald Cameron","Pennsylvania","Republican"
"292","Ralph H. Cameron","Arizona","Republican"
"293","Simon Cameron","Pennsylvania","Democratic"
"294","Alexander Campbell","Ohio","Democratic-Republican"
"295","Ben Nighthorse Campbell","Colorado","Democratic"
"296","George W. Campbell","Tennessee","Democratic-Republican"
"297","Frank J. Cannon","Utah","Silver Republican"
"298","Howard W. Cannon","Nevada","Democratic"
"299","Homer E. Capehart","Indiana","Republican"
"300","Allen T. Caperton","West Virginia","Democratic"
"301","Arthur Capper","Kansas","Republican"
"302","Hattie Caraway","Arkansas","Democratic"
"303","Thaddeus H. Caraway","Arkansas","Democratic"
"304","Joseph M. Carey","Wyoming","Republican"
"305","Robert D. Carey","Wyoming","Republican"
"306","John S. Carlile","Virginia","Unionist"
"307","John Griffin Carlisle","Kentucky","Democratic"
"308","Frank Carlson","Kansas","Republican"
"309","Edward W. Carmack","Tennessee","Democratic"
"310","Jean Carnahan","Missouri","Democratic"
"311","Matthew H. Carpenter","Wisconsin","Republican"
"312","Charles Carroll of Carrollton","Maryland","Federalist"
"313","John A. Carroll","Colorado","Democratic"
"314","Thomas Henry Carter","Montana","Republican"
"315","Edward P. Carville","Nevada","Democratic"
"316","Clifford P. Case","New Jersey","Republican"
"317","Francis H. Case","South Dakota","Republican"
"318","Lyman R. Casey","North Dakota","Republican"
"319","Lewis Cass","Michigan","Democratic"
"320","Eugene Casserly","California","Democratic"
"321","Charles W. Cathcart","Indiana","Democratic"
"322","Thomas B. Catron","New Mexico","Republican"
"323","Alexander G. Cattell","New Jersey","Republican"
"324","Jonathan Chace","Rhode Island","Republican"
"325","John Chafee","Rhode Island","Republican"
"326","Lincoln Chafee","Rhode Island","Republican"
"327","Jerome B. Chaffee","Colorado","Republican"
"328","Joseph W. Chalmers","Mississippi","Democratic"
"329","George E. Chamberlain","Oregon","Democratic"
"330","Ezekiel F. Chambers","Maryland","National Republican"
"331","Henry H. Chambers","Alabama","Democratic"
"332","Saxby Chambliss","Georgia","Republican"
"333","Christopher G. Champlin","Rhode Island","Federalist"
"334","A. B. ""Happy"" Chandler I","Kentucky","Democratic"
"335","John Chandler","Maine","Democratic-Republican"
"336","William E. Chandler","New Hampshire","Republican"
"337","Zachariah Chandler","Michigan","Republican"
"338","Virgil Chapman","Kentucky","Democratic"
"339","Robert M. Charlton","Georgia","Democratic"
"340","Dudley Chase","Vermont","Democratic-Republican"
"341","Salmon P. Chase","Ohio","Free Soiler"
"342","Dennis Chavez","New Mexico","Democratic"
"343","Person C. Cheney","New Hampshire","Republican"
"344","James Chesnut Jr.","South Carolina","Democratic"
"345","Jeffrey Chiesa","New Jersey","Republican"
"346","George M. Chilcott","Colorado","Republican"
"347","Lawton Chiles","Florida","Democratic"
"348","Horace Chilton","Texas","Democratic"
"349","William E. Chilton","West Virginia","Democratic"
"350","Nathaniel Chipman","Vermont","Federalist"
"351","Rufus Choate","Massachusetts","Whig"
"352","Isaac P. Christiancy","Michigan","Republican"
"353","Frank Church","Idaho","Democratic"
"354","Joseph Cilley","New Hampshire","Liberty"
"355","William C.C. Claiborne","Louisiana","Democratic-Republican"
"356","Moses E. Clapp","Minnesota","Republican"
"357","Bennett Champ Clark","Missouri","Democratic"
"358","Clarence D. Clark","Wyoming","Republican"
"359","Daniel Clark","New Hampshire","Republican"
"360","D. Worth Clark","Idaho","Democratic"
"361","Dick Clark","Iowa","Democratic"
"362","Joseph S. Clark","Pennsylvania","Democratic"
"363","William A. Clark","Montana","Democratic"
"364","James P. Clarke","Arkansas","Democratic"
"365","John Hopkins Clarke","Rhode Island","Whig"
"366","Alexander S. Clay","Georgia","Democratic"
"367","Clement Claiborne Clay","Alabama","Democratic"
"368","Clement Comer Clay","Alabama","Democratic"
"369","Henry Clay","Kentucky","Democratic-Republican"
"370","Henry D. Clayton","Alabama","Democratic"
"371","John M. Clayton","Delaware","National Republican"
"372","Joshua Clayton","Delaware","Federalist"
"373","Powell Clayton","Arkansas","Republican"
"374","Thomas Clayton","Delaware","Federalist"
"375","Max Cleland","Georgia","Democratic"
"376","Jeremiah Clemens","Alabama","Democratic"
"377","Earle C. Clements","Kentucky","Democratic"
"378","Thomas L. Clingman","North Carolina","Democratic"
"379","DeWitt Clinton","New York","Democratic-Republican"
"380","Hillary Clinton","New York","Democratic"
"381","Daniel R. Coats","Indiana","Republican"
"382","Thomas W. Cobb","Georgia","Democratic"
"383","Tom Coburn","Oklahoma","Republican"
"384","Thad Cochran","Mississippi","Republican"
"385","William Cocke","Tennessee","Democratic-Republican"
"386","Francis M. Cockrell","Missouri","Democratic"
"387","John S. Cohen","Georgia","Democratic"
"388","William S. Cohen","Maine","Republican"
"389","Richard Coke","Texas","Democratic"
"390","Cornelius Cole","California","Republican"
"391","Norm Coleman","Minnesota","Republican"
"392","John E. Colhoun","South Carolina","Democratic-Republican"
"393","Jacob Collamer","Vermont","Oppositionist"
"394","Alfred H. Colquitt","Georgia","Democratic"
"395","Walter T. Colquitt","Georgia","Democratic"
"396","LeBaron B. Colt","Rhode Island","Republican"
"397","Joseph P. Comegys","Delaware","Oppositionist"
"398","B. B. Comer","Alabama","Democratic"
"399","John Condit","New Jersey","Democratic-Republican"
"400","Omar D. Conger","Michigan","Republican"
"401","Roscoe Conkling","New York","Republican"
"402","Tom Connally","Texas","Democratic"
"403","John Conness","California","Republican"
"404","Simon B. Conover","Florida","Republican"
"405","Charles M. Conrad","Louisiana","Whig"
"406","Kent Conrad","North Dakota","Democratic"
"407","Marlow Cook","Kentucky","Republican"
"408","Marcus A. Coolidge","Massachusetts","Democratic"
"409","Henry Cooper","Tennessee","Democratic"
"410","James Cooper","Pennsylvania","Whig"
"411","John Sherman Cooper","Kentucky","Republican"
"412","Royal S. Copeland","New York","Democratic"
"413","Henry W. Corbett","Oregon","Republican"
"414","Guy Cordon","Oregon","Republican"
"415","Bob Corker","Tennessee","Republican"
"416","Thomas Corwin","Ohio","Whig"
"417","Jon Corzine","New Jersey","Democratic"
"418","Edward P. Costigan","Colorado","Democratic"
"419","Norris Cotton","New Hampshire","Republican"
"420","James J. Couzens","Michigan","Republican"
"421","Paul Coverdell","Georgia","Republican"
"422","Edgar Cowan","Pennsylvania","Republican"
"423","Mo Cowan","Massachusetts","Democratic"
"424","Samuel C. Crafts","Vermont","Whig"
"425","Aaron H. Cragin","New Hampshire","Republican"
"426","Larry Craig","Idaho","Republican"
"427","Winthrop Murray Crane","Massachusetts","Republican"
"428","Alan Cranston","California","Democratic"
"429","Coe I. Crawford","South Dakota","Republican"
"430","William H. Crawford","Georgia","Democratic-Republican"
"431","John A. J. Creswell","Maryland","Republican"
"432","Edward D. Crippa","Wyoming","Republican"
"433","John J. Crittenden","Kentucky","Democratic-Republican"
"434","William E. Crow","Pennsylvania","Republican"
"435","Robert Crozier","Kansas","Republican"
"436","Charles Allen Culberson","Texas","Democratic"
"437","Shelby Moore Cullom","Illinois","Republican"
"438","John Culver","Iowa","Democratic"
"439","Albert B. Cummins","Iowa","Republican"
"440","Carl T. Curtis","Nebraska","Republican"
"441","Charles Curtis","Kansas","Republican"
"442","Alfred Cuthbert","Georgia","Democratic"
"443","Bronson M. Cutting","New Mexico","Republican"
"444","Charles Cutts","New Hampshire","Democratic-Republican"
"445","Alfonse M. D'Amato","New York","Republican"
"446","David Daggett","Connecticut","Federalist"
"447","Porter H. Dale","Vermont","Republican"
"448","George M. Dallas","Pennsylvania","Democratic"
"449","Tristram Dalton","Massachusetts","Federalist"
"450","Judah Dana","Maine","Democratic"
"451","Samuel W. Dana","Connecticut","Federalist"
"452","John A. Danaher","Connecticut","Republican"
"453","John C. Danforth","Missouri","Republican"
"454","Charles E. Daniel","South Carolina","Democratic"
"455","John W. Daniel","Virginia","Democratic"
"456","Price Daniel","Texas","Democratic"
"457","Harry Darby","Kansas","Republican"
"458","Tom Daschle","South Dakota","Democratic"
"459","Franklin Davenport","New Jersey","Federalist"
"460","Cushman Davis","Minnesota","Republican"
"461","David Davis","Illinois","Independent"
"462","Garrett Davis","Kentucky","Democratic"
"463","Henry G. Davis","West Virginia","Democratic"
"464","James J. Davis","Pennsylvania","Republican"
"465","Jeff Davis","Arkansas","Democratic"
"466","Jefferson Davis","Mississippi","Democratic"
"467","John Davis","Massachusetts","National Republican"
"468","Henry L. Dawes","Massachusetts","Republican"
"469","William C. Dawson","Georgia","Whig"
"470","Mark Dayton","Minnesota","Democratic"
"471","Jonathan Dayton","New Jersey","Federalist"
"472","William L. Dayton","New Jersey","Whig"
"473","James De Wolf","Rhode Island","Democratic-Republican"
"474","William J. Deboe","Kentucky","Republican"
"475","Dennis DeConcini","Arizona","Democratic"
"476","Jim DeMint","South Carolina","Republican"
"477","Charles S. Deneen","Illinois","Republican"
"478","George R. Dennis","Maryland","Democratic"
"479","Jeremiah Denton","Alabama","Republican"
"480","Chauncey Depew","New York","Republican"
"481","William F. DeSaussure","South Carolina","Democratic"
"482","Jean N. Destrehan","Louisiana","Democratic-Republican"
"483","Mike DeWine","Ohio","Republican"
"484","Samuel Dexter","Massachusetts","Federalist"
"485","Nathaniel B. Dial","South Carolina","Democratic"
"486","Charles W. F. Dick","Ohio","Republican"
"487","Mahlon Dickerson","New Jersey","Democratic-Republican"
"488","Daniel S. Dickinson","New York","Democratic"
"489","Lester J. Dickinson","Iowa","Republican"
"490","Philemon Dickinson","New Jersey","Federalist"
"491","William H. Dieterich","Illinois","Democratic"
"492","Charles H. Dietrich","Nebraska","Republican"
"493","Clarence C. Dill","Washington","Democratic"
"494","William P. Dillingham","Vermont","Republican"
"495","Everett Dirksen","Illinois","Republican"
"496","John Adams Dix","New York","Democratic"
"497","Alan J. Dixon","Illinois","Democratic"
"498","Archibald Dixon","Kentucky","Whig"
"499","James Dixon","Connecticut","Republican"
"500","Joseph M. Dixon","Montana","Republican"
"501","Nathan F. Dixon","Rhode Island","Whig"
"502","Nathan F. Dixon III","Rhode Island","Republican"
"503","Christopher Dodd","Connecticut","Democratic"
"504","Thomas J. Dodd","Connecticut","Democratic"
"505","Augustus C. Dodge","Iowa","Democratic"
"506","Henry Dodge","Wisconsin","Democratic"
"507","Bob Dole","Kansas","Republican"
"508","Elizabeth Dole","North Carolina","Republican"
"509","Jonathan P. Dolliver","Iowa","Republican"
"510","Joseph N. Dolph","Oregon","Republican"
"511","Pete Domenici","New Mexico","Republican"
"512","Peter H. Dominick","Colorado","Republican"
"513","A. Victor Donahey","Ohio","Democratic"
"514","Forrest C. Donnell","Missouri","Republican"
"515","Joe Donnelly","Indiana","Democratic"
"516","James R. Doolittle","Wisconsin","Republican"
"517","Byron Dorgan","North Dakota","Democratic"
"518","Stephen W. Dorsey","Arkansas","Republican"
"519","Paul Douglas","Illinois","Democratic"
"520","Stephen A. Douglas","Illinois","Democratic"
"521","Sheridan Downey","California","Democratic"
"522","Solomon W. Downs","Louisiana","Democratic"
"523","Wall Doxey","Mississippi","Democratic"
"524","Charles D. Drake","Missouri","Republican"
"525","Irving W. Drew","New Hampshire","Republican"
"526","John F. Dryden","New Jersey","Republican"
"527","Henry A. du Pont","Delaware","Republican"
"528","T. Coleman du Pont","Delaware","Republican"
"529","Fred Dubois","Idaho","Republican"
"530","Charles E. Dudley","New York","Democratic"
"531","James H. Duff","Pennsylvania","Republican"
"532","F. Ryan Duffy","Wisconsin","Democratic"
"533","John Foster Dulles","New York","Republican"
"534","David Durenberger","Minnesota","Republican"
"535","Charles Durkee","Wisconsin","Republican"
"536","John A. Durkin","New Hampshire","Democratic"
"537","Henry Dworshak","Idaho","Republican"
"538","Thomas Eagleton","Missouri","Democratic"
"539","Joseph H. Earle","South Carolina","Democratic"
"540","John Porter East","North Carolina","Republican"
"541","James Eastland","Mississippi","Democratic"
"542","John Eaton","Tennessee","Democratic-Republican"
"543","William W. Eaton","Connecticut","Democratic"
"544","Zales Ecton","Montana","Republican"
"545","Walter Evans Edge","New Jersey","Republican"
"546","Alonzo J. Edgerton","Minnesota","Republican"
"547","J. Howard Edmondson","Oklahoma","Democratic"
"548","George F. Edmunds","Vermont","Republican"
"549","Edward I. Edwards","New Jersey","Democratic"
"550","Elaine Edwards","Louisiana","Democratic"
"551","Henry W. Edwards","Connecticut","Democratic"
"552","John Edwards","Kentucky","Democratic-Republican"
"553","John Edwards","North Carolina","Democratic"
"554","Ninian Edwards","Illinois","Democratic-Republican"
"555","Davis Elkins","West Virginia","Republican"
"556","Stephen Benton Elkins","West Virginia","Republican"
"557","Allen Ellender","Louisiana","Democratic"
"558","Christopher Ellery","Rhode Island","Democratic-Republican"
"559","John Elliott","Georgia","Democratic-Republican"
"560","Powhatan Ellis","Mississippi","Democratic"
"561","Oliver Ellsworth","Connecticut","Federalist"
"562","Jonathan Elmer","New Jersey","Federalist"
"563","Franklin H. Elmore","South Carolina","Democratic"
"564","Clair Engle","California","Democratic"
"565","James E. English","Connecticut","Democratic"
"566","John Ensign","Nevada","Republican"
"567","John Wayles Eppes","Virginia","Democratic-Republican"
"568","John Edward Erickson","Montana","Democratic"
"569","Richard P. Ernst","Kentucky","Republican"
"570","Sam Ervin","North Carolina","Democratic"
"571","James B. Eustis","Louisiana","Democratic"
"572","Daniel J. Evans","Washington","Republican"
"573","George Evans","Maine","Whig"
"574","Josiah J. Evans","South Carolina","Democratic"
"575","William M. Evarts","New York","Republican"
"576","Edward Everett","Massachusetts","Whig"
"577","Thomas Ewing","Ohio","National Republican"
"578","William Lee D. Ewing","Illinois","Democratic"
"579","John J. Exon","Nebraska","Democratic"
"580","James Graham Fair","Nevada","Democratic"
"581","Charles W. Fairbanks","Indiana","Republican"
"582","Lauch Faircloth","North Carolina","Republican"
"583","John Fairfield","Maine","Democratic"
"584","Albert B. Fall","New Mexico","Republican"
"585","Paul J. Fannin","Arizona","Republican"
"586","James T. Farley","California","Democratic"
"587","Charles B. Farwell","Illinois","Republican"
"588","Nathan A. Farwell","Maine","Republican"
"589","Charles J. Faulkner","West Virginia","Democratic"
"590","William C. Feazel","Louisiana","Democratic"
"591","Russ Feingold","Wisconsin","Democratic"
"592","Alpheus Felch","Michigan","Democratic"
